,organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName
41,AAA,AAA,VNINDEX,1353,DN,CT,Công ty Cổ phần Nhựa An Phát Xanh,An Phát Bioplastics
42,AAM,AAM,VNINDEX,3573,DN,CT,Công ty Cổ Phần Thủy Sản MeKong,Thủy sản Mekong
43,AAT,AAT,VNINDEX,3763,DN,CT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Tập đoàn Tiên Sơn Thanh Hóa
44,AAV,AAV,HNXIndex,8633,DN,CT,Công ty Cổ phần AAV Group,Việt Tiên Sơn Địa ốc
45,ABB,ABB,UpcomIndex,8355,DN,NH,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng An Bình
46,ABI,ABI,UpcomIndex,8536,OTHER,BH,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH NH Nông Nghiệp
47,ABR,ABR,VNINDEX,2791,DN,CT,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Đầu tư Nhãn Hiệu Việt
48,ABS,ABS,VNINDEX,5379,DN,CT,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,DV Nông nghiệp Bình Thuận
49,ABSC,ABW,UpcomIndex,8777,DN,CK,Công ty Cổ phần Chứng khoán An Bình,Chứng khoán An Bình
50,ABT,ABT,VNINDEX,3573,DN,CT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thủy sản Bến Tre
51,ACB,ACB,VNINDEX,8355,DN,NH,Ngân hàng Thương mại Cổ phần Á Châu,ACB
52,ACC,ACC,VNINDEX,2353,DN,CT,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Đầu tư và XD Bình Dương ACC
53,ACE,ACE,UpcomIndex,2353,DN,CT,Công ty Cổ phần Bê tông ly tâm An Giang,Bê tông An Giang
54,ACL,ACL,VNINDEX,3573,DN,CT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thủy sản CL An Giang
55,ACM,ACM,UpcomIndex,1775,DN,CT,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Tập đoàn Khoáng sản Á Cường
56,ACSC,ACS,UpcomIndex,2357,DN,CT,Công ty Cổ phần Xây lắp Thương mại 2,Xây lắp Thương mại 2
57,ACVN,ACV,UpcomIndex,2777,DN,CT,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Cảng Hàng không VN
58,ADC,ADC,HNXIndex,5557,DN,CT,Công ty Cổ phần Mĩ thuật và Truyền thông,Mĩ thuật và Truyền thông
59,ADP,ADP,VNINDEX,2353,DN,CT,Công ty Cổ phần Sơn Á Đông,Sơn Á Đông
60,AFIEX,AFX,UpcomIndex,5337,DN,CT,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Xuất Nhập khẩu Nông sản Thực phẩm An Giang
61,AGF,AGF,UpcomIndex,3573,DN,CT,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Thủy sản An Giang
62,AGIMECO,CKA,UpcomIndex,2757,DN,CT,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang
63,AGIMEX,AGP,UpcomIndex,4577,DN,CT,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm AGIMEXPHARM
64,AGM,AGM,VNINDEX,3577,DN,CT,Công ty Cổ phần Xuất nhập khẩu An Giang,XNK An Giang
65,AGPORT,CAG,HNXIndex,2777,DN,CT,Công ty Cổ phần Cảng An Giang,Cảng An Giang
66,AGPPS,LTG,UpcomIndex,1357,DN,CT,Công ty Cổ phần Tập đoàn Lộc Trời,Tập đoàn Lộc Trời (BVTV An Giang)
67,AGR,AGR,VNINDEX,8777,DN,CK,Công ty Cổ phần Chứng khoán AGRIBANK,Agriseco
68,AGRE,AGG,VNINDEX,8633,DN,CT,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản An Gia
69,AGREX,AGX,UpcomIndex,5337,DN,CT,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Nông sản Xuất khẩu Sài Gòn
70,AGTEX1,AG1,UpcomIndex,3763,DN,CT,Công ty Cổ phần 28.1,28.1 JSC
71,ALT,ALT,HNXIndex,5557,DN,CT,Công ty Cổ phần Văn hóa Tân Bình,Văn hóa Tân Bình
72,ALV,ALV,UpcomIndex,2357,DN,CT,Công ty Cổ phần Xây dựng ALVICO,Xây dựng ALVICO
73,AMC,AMC,HNXIndex,1775,DN,CT,Công ty Cổ phần Khoáng sản Á Châu,Khoáng sản Á Châu
74,AMD,AMD,UpcomIndex,8633,DN,CT,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,FLC Stone
75,AME,AME,HNXIndex,2737,DN,CT,Công ty cổ phần Alphanam E&C,Cơ điện Alphanam
76,AMP,AMP,UpcomIndex,4577,DN,CT,Công ty Cổ phần Armephaco,Armephaco
77,AMV,AMV,HNXIndex,4535,DN,CT,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược-TB Y tế Việt Mỹ
78,ANCUONGWOOD,ACG,VNINDEX,1733,DN,CT,Công ty Cổ phần Gỗ An Cường,Gỗ An Cường
79,ANOVA,NCG,UpcomIndex,3573,DN,CT,Công ty Cổ phần Tập đoàn Nova Consumer,Nova Consumer
80,ANTESCO,ANT,UpcomIndex,3577,DN,CT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Rau quả thực phẩm An Giang
81,ANV,ANV,VNINDEX,3573,DN,CT,Công ty Cổ phần Nam Việt,Thủy sản Nam Việt
82,APC,APC,VNINDEX,4573,DN,CT,Công ty Cổ phần Chiếu xạ An Phú,Chiếu xạ An Phú
83,APF,APF,UpcomIndex,3577,DN,CT,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Nông sản Quảng Ngãi
84,APG,APG,VNINDEX,8777,DN,CK,Công ty Cổ phần Chứng khoán APG,Chứng khoán APG
85,APHOLD,APH,VNINDEX,2723,DN,CT,Công ty Cổ phần Tập đoàn An Phát Holdings,Tập đoàn An Phát Holdings
86,API,API,HNXIndex,8633,DN,CT,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Đầu tư Châu Á - Thái Bình Dương
87,APL,APL,UpcomIndex,2757,DN,CT,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Cơ khí và Thiết bị áp lực - VVMI
88,APP,APP,UpcomIndex,1357,DN,CT,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Phụ gia và SP Dầu mỏ
89,APS,APS,HNXIndex,8777,DN,CK,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK Châu Á - TBD
90,APYB,HII,VNINDEX,1353,DN,CT,Công ty Cổ phần An Tiến Industries,An Tiến Industries
91,ARM,ARM,HNXIndex,2797,DN,CT,Công ty Cổ phần Xuất nhập khẩu Hàng không,XNK Hàng không
92,ASA,ASA,UpcomIndex,3767,DN,CT,Công ty Cổ phần ASA,Hàng tiêu dùng ASA
93,ASECO32,A32,UpcomIndex,3765,DN,CT,Công ty Cổ phần 32,Công ty 32
94,ASGC,ASG,VNINDEX,2777,DN,CT,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG
95,ASM,ASM,VNINDEX,3573,DN,CT,Công ty Cổ phần Tập đoàn Sao Mai,Tập đoàn Sao Mai
96,ASP,ASP,VNINDEX,7573,DN,CT,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Dầu khí An Pha
97,ATA,ATA,UpcomIndex,3573,DN,CT,Công ty Cổ phần NTACO,NTACO
98,ATAJSC,ATG,UpcomIndex,1775,DN,CT,Công ty Cổ phần An Trường An,An Trường An
99,ATB,ATB,UpcomIndex,2357,DN,CT,Công ty Cổ phần An Thịnh,Công ty An Thịnh
100,ATS,ATS,HNXIndex,5757,DN,CT,Công ty Cổ phần Tập đoàn Dược phẩm Atesco,Tập đoàn Dược phẩm Atesco
101,AVF,AVF,UpcomIndex,3573,DN,CT,Công ty Cổ phần Việt An,Thủy sản Việt An
102,AVHPC,AVC,UpcomIndex,7535,DN,CT,Công ty Cổ phần Thủy điện A Vương,Thủy điện A Vương
103,B82,B82,UpcomIndex,2357,DN,CT,Công ty Cổ phần 482,Công ty 482
104,BAFVN,BAF,VNINDEX,3573,DN,CT,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nông nghiệp BAF Việt Nam
105,BALPAC,BAL,UpcomIndex,2723,DN,CT,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Bao bì Balpac
106,BANGGIANG,BCV,UpcomIndex,5753,DN,CT,Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
107,BAONGOCCORP,BNA,HNXIndex,3577,DN,CT,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Đầu tư SX Bảo Ngọc
108,BARU,BRR,UpcomIndex,1353,DN,CT,Công ty Cổ phần Cao su Bà Rịa,Cao su Bà Rịa
109,BBC,BBC,VNINDEX,3577,DN,CT,Công ty Cổ phần Bibica,Bánh kẹo BIBICA
110,BBCC,VLB,UpcomIndex,2353,DN,CT,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,VLXD Biên Hòa
111,BBH,BBH,UpcomIndex,2723,DN,CT,Công ty Cổ phần Bao bì Hoàng Thạch,Bao bì Hoàng Thạch
112,BBS,BBS,HNXIndex,2723,DN,CT,Công ty Cổ phần VICEM Bao bì Bút Sơn,Bao bì Xi măng Bút Sơn
113,BBT,BBT,UpcomIndex,3767,DN,CT,Công ty Cổ phần Bông Bạch Tuyết,Bông Bạch Tuyết
114,BCB,BCB,UpcomIndex,1771,DN,CT,Công ty Cổ phần 397,Công ty 397
115,BCC,BCC,HNXIndex,2353,DN,CT,Công ty Cổ phần Xi măng Bỉm Sơn,Xi măng Bỉm Sơn
116,BCE,BCE,VNINDEX,2357,DN,CT,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,XD và GT Bình Dương
117,BCG,BCG,VNINDEX,8775,DN,CT,Công ty Cổ phần Tập đoàn Bamboo Capital,Bamboo Capital
118,BCGLAND,BCR,UpcomIndex,2357,DN,CT,Công ty Cổ phần BCG Land,BCG Land
119,BCP,BCP,UpcomIndex,4577,DN,CT,Công ty Cổ phần Dược Enlie,Dược Enlie
120,BDB,BDB,HNXIndex,5557,DN,CT,Công ty Cổ phần Sách và Thiết bị Bình Định,Sách Bình Định
121,BDBMC,MVC,UpcomIndex,2353,DN,CT,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Vật liệu và XD Bình Dương
122,BDFC,BFC,VNINDEX,1357,DN,CT,Công ty Cổ phần Phân bón Bình Điền,Phân bón Bình Điền
123,BDGAR,BDG,UpcomIndex,3763,DN,CT,Công ty Cổ phần May mặc Bình Dương,May mặc Bình Dương
124,BDHC,BSA,UpcomIndex,7535,DN,CT,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn
125,BDMIE,PRT,UpcomIndex,1737,DN,CT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Sản xuất - XNK Bình Dương
126,BDW,BDW,UpcomIndex,7577,DN,CT,Công ty Cổ phần Cấp thoát nước Bình Định,Cấp thoát nước Bình Định
127,BED,BED,HNXIndex,5557,DN,CT,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Sách Đà Nẵng
128,BELCO,BEL,UpcomIndex,3743,DN,CT,Công ty Cổ phần Điện tử Biên Hòa,Điện tử Biên Hoà
129,BEWACO,NBT,UpcomIndex,7577,DN,CT,Công ty Cổ phần Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre
130,BGWS,BGW,UpcomIndex,7577,DN,CT,Công ty Cổ phần Nước sạch Bắc Giang,Nước sạch Bắc Giang
131,BHA,BHA,UpcomIndex,7535,DN,CT,Công ty cổ phần Thủy điện Bắc Hà,Thủy điện Bắc Hà
132,BHC,BHC,UpcomIndex,2353,DN,CT,Công ty Cổ phần Bê tông Biên Hòa,Bê tông Biên Hòa
133,BHK,BHK,UpcomIndex,3533,DN,CT,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia Hà Nội - Kim Bài
134,BHN,BHN,VNINDEX,3533,DN,CT,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HABECO
135,BHP,BHP,UpcomIndex,3533,DN,CT,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia Hà Nội - Hải Phòng
136,BIC,BIC,VNINDEX,8536,OTHER,BH,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm BIDV
137,BID,BID,VNINDEX,8355,DN,NH,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV
138,BIDC,BCM,VNINDEX,8633,DN,CT,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Becamex IDC
139,BIDIFOOD,BLT,UpcomIndex,3577,DN,CT,Công ty Cổ phần Lương thực Bình Định,Lương Thực Bình Định
140,BIDIP,DBD,VNINDEX,4577,DN,CT,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định,Dược - TB Y tế Bình Định
141,BIENHOTEA,BHG,UpcomIndex,3537,DN,CT,Công ty Cổ phần Chè Biển Hồ,Chè Biển Hồ
142,BII,BII,UpcomIndex,8633,DN,CT,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Đầu tư và Phát triển Công nghiệp Bảo Thư
143,BIOPHARCO,BIO,UpcomIndex,4577,DN,CT,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Vắc xin và Sinh phẩm Nha Trang
144,BIWASE,BWE,VNINDEX,7577,DN,CT,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương
145,BKC,BKC,HNXIndex,1775,DN,CT,Công ty Cổ phần Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn
146,BKGVN,BKG,VNINDEX,3767,DN,CT,Công ty Cổ phần Đầu tư BKG Việt Nam,Đầu tư BKG Việt Nam
147,BLF,BLF,UpcomIndex,3573,DN,CT,Công ty Cổ phần Thủy sản Bạc Liêu,Thủy sản Bạc Liêu
148,BLIC,BLI,UpcomIndex,8536,DN,BH,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm Nhà Rồng
149,BLIP,MH3,UpcomIndex,8633,DN,CT,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,KCN Cao su Bình Long
150,BLURBAN,DTB,UpcomIndex,2799,DN,CT,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Công trình Đô thị Bảo Lộc
151,BMC,BMC,VNINDEX,1775,DN,CT,Công ty Cổ phần Khoáng sản Bình Định,Khoáng sản Bình Định
152,BMD,BMD,UpcomIndex,2799,DN,CT,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Môi trường và DV Đô thị Bình Thuận
153,BMF,BMF,UpcomIndex,7573,DN,CT,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,VLXD và Chất đốt Đồng Nai
154,BMI,BMI,VNINDEX,8536,DN,BH,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh
155,BMIG,BMG,UpcomIndex,3763,DN,CT,Công ty Cổ phần May Bình Minh,May Bình Minh
156,BMJ,BMJ,UpcomIndex,1775,DN,CT,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khoáng sản Miền Đông AHP
157,BMN,BMN,UpcomIndex,2357,DN,CT,Công ty Cổ phần 715,Công ty 715
158,BMP,BMP,VNINDEX,2353,DN,CT,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh
159,BMSC,BMS,UpcomIndex,8777,DN,CK,Công ty Cổ phần Chứng khoán Bảo Minh,Chứng khoán Bảo Minh
160,BNURENCO,MBN,UpcomIndex,2799,DN,CT,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Môi trường và Công trình ĐT Bắc Ninh
161,BNWSSC,BNW,UpcomIndex,7577,DN,CT,Công ty Cổ phần Nước sạch Bắc Ninh,Nước sạch Bắc Ninh
162,BOT,BOT,UpcomIndex,2357,DN,CT,Công ty Cổ phần BOT Cầu Thái Hà,BOT Cầu Thái Hà
163,BPC,BPC,HNXIndex,2723,DN,CT,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Bao bì Bỉm Sơn
164,BRC,BRC,VNINDEX,1353,DN,CT,Công ty Cổ phần Cao su Bến Thành,Cao su Bến Thành
165,BRS,BRS,UpcomIndex,2799,DN,CT,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Dịch vụ Đô thị Bà Rịa
166,BRVT,VTG,UpcomIndex,5759,DN,CT,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch tỉnh BR-VT
167,BSC,BSC,HNXIndex,5379,DN,CT,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ Bến Thành
168,BSGPT,BSP,UpcomIndex,3533,DN,CT,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ
169,BSHCO,BHI,UpcomIndex,8536,OTHER,BH,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm Sài Gòn - Hà Nội
170,BSI,BSI,VNINDEX,8777,DN,CK,Công ty Cổ phần Chứng khoán BIDV,Chứng khoán BIDV
171,BSRC,BSR,UpcomIndex,0533,DN,CT,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,BSR
172,BST,BST,HNXIndex,5557,DN,CT,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Sách và Thiết bị Bình Thuận
173,BT6,BT6,UpcomIndex,2353,DN,CT,Công ty Cổ phần BETON 6,Bê tông 6
174,BTG,BTG,UpcomIndex,2723,DN,CT,Công ty Cổ phần Bao bì Tiền Giang,Bao bì Tiền Giang
175,BTH,BTH,UpcomIndex,2737,DN,CT,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Biến thế và Vật liệu Điện Hà Nội
176,BTN,BTN,UpcomIndex,2353,DN,CT,Công ty Cổ phần Đầu tư Bitco Bình Định,Gạch Tuy Nen Bình Định
177,BTP,BTP,VNINDEX,7535,DN,CT,Công ty Cổ phần Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa
178,BTS,BTS,HNXIndex,2353,DN,CT,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xi măng Bút Sơn
179,BTT,BTT,VNINDEX,5373,DN,CT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,TM - DV Bến Thành
180,BTTD,BTD,UpcomIndex,2353,DN,CT,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Bê tông ly tâm Thủ Đức
181,BTTOUR,BTV,UpcomIndex,5759,DN,CT,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,DV Du lịch Bến Thành
182,BTU,BTU,UpcomIndex,2799,DN,CT,Công ty Cổ phần Công trình Đô thị Bến Tre,Công trình Đô thị Bến Tre
183,BTW,BTW,HNXIndex,7577,DN,CT,Công ty Cổ phần Cấp nước Bến Thành,Cấp nước Bến Thành
184,BUSLN,BLN,UpcomIndex,5759,DN,CT,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Xe buýt Liên Ninh
185,BVG,BVG,UpcomIndex,1757,DN,CT,Công ty cổ phần Group Bắc Việt,Group Bắc Việt
186,BVH,BVH,VNINDEX,8575,DN,BH,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt
187,BVN,BVN,UpcomIndex,3767,DN,CT,Công ty Cổ phần Bông Việt Nam,Bông Việt Nam
188,BVQTTN,TNH,VNINDEX,4533,DN,CT,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Bệnh viện Quốc tế Thái Nguyên
189,BVS,BVS,HNXIndex,8777,DN,CK,Công ty Cổ phần Chứng khoán Bảo Việt,Chứng khoán Bảo Việt
190,BWA,BWA,UpcomIndex,7577,DN,CT,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Cấp thoát nước và Xây dựng Bảo Lộc
191,BWAC,BWS,UpcomIndex,7577,DN,CT,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Cấp Nước Bà Rịa Vũng Tàu
192,BXH,BXH,HNXIndex,2723,DN,CT,Công ty Cổ phần VICEM Bao bì Hải Phòng,Bao bì Xi măng HP
193,BXHN,HNB,UpcomIndex,2777,DN,CT,Công ty Cổ phần Bến xe Hà Nội,Bến xe Hà Nội
194,C1369,C69,HNXIndex,2357,DN,CT,Công ty Cổ phần Xây dựng 1369,Xây dựng 1369
195,C21,C21,UpcomIndex,8633,DN,CT,Công ty Cổ phần Thế kỷ 21,Thế kỷ 21
196,C22,C22,UpcomIndex,3577,DN,CT,Công ty Cổ phần 22,Công ty 22
197,C32,C32,VNINDEX,2353,DN,CT,Công ty Cổ phần CIC39,CIC39
198,C47,C47,VNINDEX,2357,DN,CT,Công ty Cổ phần Xây dựng 47,Xây dựng 47
199,C532,TS3,UpcomIndex,2357,DN,CT,Công ty Cổ phần Trường Sơn 532,Trường Sơn 532
200,C92,C92,UpcomIndex,2357,DN,CT,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Đầu tư 492
201,CAD,CAD,UpcomIndex,3573,DN,CT,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thủy sản Cadovimex
202,CAFEPA,CPA,UpcomIndex,3537,DN,CT,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An
203,CAFETL,CFV,UpcomIndex,3537,DN,CT,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi
204,CAN,CAN,HNXIndex,3577,DN,CT,Công ty Cổ phần Đồ hộp Hạ Long,Đồ hộp Hạ Long
205,CANTHOP,CCT,UpcomIndex,2777,DN,CT,Công ty Cổ phần Cảng Cần Thơ,Cảng Cần Thơ
206,CAP,CAP,HNXIndex,1737,DN,CT,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nông sản Yên Bái
